dteday,temp,atemp,hum,windspeed,casual,registered,cnt,weathersit
2011-07-01,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,1
2011-07-02,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,1
2011-07-03,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,2
2011-07-04,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,2
2011-07-05,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,1
2011-07-06,0.72,0.685633,0.743333,0.149883,784,3845,4629,1
2011-07-07,0.75,0.686871,0.65125,0.1592,754,3838,4592,1
2011-07-08,0.709167,0.670483,0.757917,0.225129,692,3348,4040,2
2011-07-09,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,1
2011-07-10,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,1
2011-07-11,0.7625,0.729804,0.635833,0.282337,723,3363,4086,1
2011-07-12,0.794167,0.739275,0.559167,0.200254,662,3596,4258,1
2011-07-13,0.746667,0.689404,0.631667,0.146133,748,3594,4342,1
2011-07-14,0.680833,0.635104,0.47625,0.240667,888,4196,5084,1
2011-07-15,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,1
2011-07-16,0.686667,0.638263,0.585,0.208342,2418,3505,5923,1
2011-07-17,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,1
2011-07-18,0.746667,0.703925,0.65125,0.215804,841,3617,4458,1
2011-07-19,0.776667,0.747479,0.650417,0.1306,752,3789,4541,1
2011-07-20,0.768333,0.74685,0.707083,0.113817,644,3688,4332,1
2011-07-21,0.815,0.826371,0.69125,0.222021,632,3152,3784,2
2011-07-22,0.848333,0.840896,0.580417,0.1331,562,2825,3387,1
2011-07-23,0.849167,0.804287,0.5,0.131221,987,2298,3285,1
2011-07-24,0.83,0.794829,0.550833,0.169171,1050,2556,3606,1
2011-07-25,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,1
2011-07-26,0.771667,0.696979,0.540833,0.200258,750,3840,4590,1
2011-07-27,0.775,0.690667,0.402917,0.183463,755,3901,4656,1
2011-07-28,0.779167,0.7399,0.583333,0.178479,606,3784,4390,1
2011-07-29,0.838333,0.785967,0.5425,0.174138,670,3176,3846,1
2011-07-30,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,1
2011-07-31,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,1
2011-08-01,0.771667,0.703292,0.550833,0.156717,729,3537,4266,1
2011-08-02,0.783333,0.707071,0.49125,0.20585,801,4044,4845,1
2011-08-03,0.731667,0.679937,0.6575,0.135583,467,3107,3574,2
2011-08-04,0.71,0.664788,0.7575,0.19715,799,3777,4576,2
2011-08-05,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,1
2011-08-06,0.716667,0.676154,0.755,0.22825,1521,2773,4294,2
2011-08-07,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,1
2011-08-08,0.765,0.703283,0.592083,0.192175,846,3480,4326,1
2011-08-09,0.775,0.724121,0.570417,0.151121,907,3695,4602,1
2011-08-10,0.766667,0.684983,0.424167,0.200258,884,3896,4780,1
2011-08-11,0.7175,0.651521,0.42375,0.164796,812,3980,4792,1
2011-08-12,0.708333,0.654042,0.415,0.125621,1051,3854,4905,1
2011-08-13,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,2
2011-08-14,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,2
2011-08-15,0.665833,0.616167,0.712083,0.208954,775,3563,4338,1
2011-08-16,0.700833,0.645837,0.578333,0.236329,721,4004,4725,1
2011-08-17,0.723333,0.666671,0.575417,0.143667,668,4026,4694,1
2011-08-18,0.711667,0.662258,0.654583,0.233208,639,3166,3805,1
2011-08-19,0.685,0.633221,0.722917,0.139308,797,3356,4153,2
2011-08-20,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,1
2011-08-21,0.710833,0.675525,0.77,0.248754,1249,2624,3873,1
2011-08-22,0.691667,0.638254,0.47,0.27675,833,3925,4758,1
2011-08-23,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,1
2011-08-24,0.673333,0.630692,0.605,0.253108,949,4181,5130,1
2011-08-25,0.684167,0.645854,0.771667,0.210833,435,3107,3542,2
2011-08-26,0.7,0.659733,0.76125,0.0839625,768,3893,4661,1
2011-08-27,0.68,0.635556,0.85,0.375617,226,889,1115,2
2011-08-28,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,1
2011-08-29,0.636667,0.607958,0.554583,0.159825,729,3905,4634,1
2011-08-30,0.639167,0.594704,0.548333,0.125008,775,4429,5204,1
2011-08-31,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,1
2011-09-01,0.655,0.614921,0.639167,0.141796,783,4332,5115,1
2011-09-02,0.643333,0.604808,0.727083,0.139929,875,3852,4727,2
2011-09-03,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,1
2011-09-04,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,1
2011-09-05,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,2
2011-09-06,0.54,0.5152,0.886957,0.343943,204,2506,2710,3
2011-09-07,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,3
2011-09-08,0.633913,0.555361,0.939565,0.192748,153,1689,1842,3
2011-09-09,0.65,0.578946,0.897917,0.124379,417,3127,3544,2
2011-09-10,0.66,0.607962,0.75375,0.153608,1750,3595,5345,1
2011-09-11,0.653333,0.609229,0.71375,0.115054,1633,3413,5046,1
2011-09-12,0.644348,0.60213,0.692174,0.088913,690,4023,4713,1
2011-09-13,0.650833,0.603554,0.7125,0.141804,701,4062,4763,1
2011-09-14,0.673333,0.6269,0.697083,0.1673,647,4138,4785,1
2011-09-15,0.5775,0.553671,0.709167,0.271146,428,3231,3659,2
2011-09-16,0.469167,0.461475,0.590417,0.164183,742,4018,4760,2
2011-09-17,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,2
2011-09-18,0.5075,0.490537,0.695,0.178483,1353,2921,4274,1
2011-09-19,0.549167,0.529675,0.69,0.151742,691,3848,4539,2
2011-09-20,0.561667,0.532217,0.88125,0.134954,438,3203,3641,2
2011-09-21,0.595,0.550533,0.9,0.0964042,539,3813,4352,2
2011-09-22,0.628333,0.554963,0.902083,0.128125,555,4240,4795,2
2011-09-23,0.609167,0.522125,0.9725,0.0783667,258,2137,2395,2
2011-09-24,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,2
2011-09-25,0.634167,0.572637,0.845,0.0503792,1544,3466,5010,2
2011-09-26,0.649167,0.589042,0.848333,0.1107,684,3946,4630,2
2011-09-27,0.636667,0.574525,0.885417,0.118171,477,3643,4120,2
2011-09-28,0.635,0.575158,0.84875,0.148629,480,3427,3907,2
