dteday,temp,atemp,hum,windspeed,casual,registered,cnt,weathersit
2011-04-01,0.3,0.283454,0.68625,0.258708,307,1920,2227,2
2011-04-02,0.315,0.315637,0.65375,0.197146,898,1354,2252,2
2011-04-03,0.378333,0.378767,0.48,0.182213,1651,1598,3249,1
2011-04-04,0.573333,0.542929,0.42625,0.385571,734,2381,3115,1
2011-04-05,0.414167,0.39835,0.642083,0.388067,167,1628,1795,2
2011-04-06,0.390833,0.387608,0.470833,0.263063,413,2395,2808,1
2011-04-07,0.4375,0.433696,0.602917,0.162312,571,2570,3141,1
2011-04-08,0.335833,0.324479,0.83625,0.226992,172,1299,1471,2
2011-04-09,0.3425,0.341529,0.8775,0.133083,879,1576,2455,2
2011-04-10,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,2
2011-04-11,0.595652,0.565217,0.716956,0.324474,855,2493,3348,2
2011-04-12,0.5025,0.493054,0.739167,0.274879,257,1777,2034,2
2011-04-13,0.4125,0.417283,0.819167,0.250617,209,1953,2162,2
2011-04-14,0.4675,0.462742,0.540417,0.1107,529,2738,3267,1
2011-04-15,0.446667,0.441913,0.67125,0.226375,642,2484,3126,1
2011-04-16,0.430833,0.425492,0.888333,0.340808,121,674,795,3
2011-04-17,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,1
2011-04-18,0.5125,0.503146,0.5425,0.163567,669,2760,3429,1
2011-04-19,0.505833,0.489258,0.665833,0.157971,409,2795,3204,2
2011-04-20,0.595,0.564392,0.614167,0.241925,613,3331,3944,1
2011-04-21,0.459167,0.453892,0.407083,0.325258,745,3444,4189,1
2011-04-22,0.336667,0.321954,0.729583,0.219521,177,1506,1683,2
2011-04-23,0.46,0.450121,0.887917,0.230725,1462,2574,4036,2
2011-04-24,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,2
2011-04-25,0.606667,0.5745,0.776667,0.185333,773,3300,4073,1
2011-04-26,0.631667,0.594083,0.729167,0.3265,678,3722,4400,1
2011-04-27,0.62,0.575142,0.835417,0.3122,547,3325,3872,2
2011-04-28,0.6175,0.578929,0.700833,0.320908,569,3489,4058,2
2011-04-29,0.51,0.497463,0.457083,0.240063,878,3717,4595,1
2011-04-30,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,1
2011-05-01,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,2
2011-05-02,0.549167,0.532833,0.73,0.183454,847,3554,4401,2
2011-05-03,0.616667,0.582079,0.697083,0.342667,603,3848,4451,2
2011-05-04,0.414167,0.40465,0.737083,0.328996,255,2378,2633,2
2011-05-05,0.459167,0.441917,0.444167,0.295392,614,3819,4433,1
2011-05-06,0.479167,0.474117,0.59,0.228246,894,3714,4608,1
2011-05-07,0.52,0.512621,0.54125,0.16045,1612,3102,4714,1
2011-05-08,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,1
2011-05-09,0.5325,0.525246,0.58875,0.176,664,3698,4362,1
2011-05-10,0.5325,0.522721,0.489167,0.115671,694,4109,4803,1
2011-05-11,0.5425,0.5284,0.632917,0.120642,550,3632,4182,1
2011-05-12,0.535,0.523363,0.7475,0.189667,695,4169,4864,1
2011-05-13,0.5125,0.4943,0.863333,0.179725,692,3413,4105,2
2011-05-14,0.520833,0.500629,0.9225,0.13495,902,2507,3409,2
2011-05-15,0.5625,0.536,0.867083,0.152979,1582,2971,4553,2
2011-05-16,0.5775,0.550512,0.787917,0.126871,773,3185,3958,1
2011-05-17,0.561667,0.538529,0.837917,0.277354,678,3445,4123,2
2011-05-18,0.55,0.527158,0.87,0.201492,536,3319,3855,2
2011-05-19,0.530833,0.510742,0.829583,0.108213,735,3840,4575,2
2011-05-20,0.536667,0.529042,0.719583,0.125013,909,4008,4917,1
2011-05-21,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,1
2011-05-22,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,1
2011-05-23,0.631667,0.590296,0.81,0.233842,836,3438,4274,2
2011-05-24,0.66,0.604813,0.740833,0.207092,659,3833,4492,2
2011-05-25,0.660833,0.615542,0.69625,0.154233,740,4238,4978,1
2011-05-26,0.708333,0.654688,0.6775,0.199642,758,3919,4677,1
2011-05-27,0.681667,0.637008,0.65375,0.240679,871,3808,4679,1
2011-05-28,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,1
2011-05-29,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,1
2011-05-30,0.733333,0.671092,0.685,0.131225,1549,2549,4098,1
2011-05-31,0.775,0.725383,0.636667,0.111329,673,3309,3982,1
2011-06-01,0.764167,0.720967,0.677083,0.207092,513,3461,3974,2
2011-06-02,0.715,0.643942,0.305,0.292287,736,4232,4968,1
2011-06-03,0.62,0.587133,0.354167,0.253121,898,4414,5312,1
2011-06-04,0.635,0.594696,0.45625,0.123142,1869,3473,5342,1
2011-06-05,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,2
2011-06-06,0.678333,0.621858,0.6,0.121896,673,3875,4548,1
2011-06-07,0.7075,0.65595,0.597917,0.187808,763,4070,4833,1
2011-06-08,0.775833,0.727279,0.622083,0.136817,676,3725,4401,1
2011-06-09,0.808333,0.757579,0.568333,0.149883,563,3352,3915,2
2011-06-10,0.755,0.703292,0.605,0.140554,815,3771,4586,1
2011-06-11,0.725,0.678038,0.654583,0.15485,1729,3237,4966,1
2011-06-12,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,1
2011-06-13,0.635,0.601654,0.494583,0.30535,863,4157,5020,1
2011-06-14,0.604167,0.591546,0.507083,0.269283,727,4164,4891,1
2011-06-15,0.626667,0.587754,0.471667,0.167912,769,4411,5180,1
2011-06-16,0.628333,0.595346,0.688333,0.206471,545,3222,3767,2
2011-06-17,0.649167,0.600383,0.735833,0.143029,863,3981,4844,1
2011-06-18,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,1
2011-06-19,0.699167,0.645846,0.666667,0.102,1639,3105,4744,2
2011-06-20,0.635,0.595346,0.74625,0.155475,699,3311,4010,2
2011-06-21,0.680833,0.637646,0.770417,0.171025,774,4061,4835,2
2011-06-22,0.733333,0.693829,0.7075,0.172262,661,3846,4507,1
2011-06-23,0.728333,0.693833,0.703333,0.238804,746,4044,4790,2
2011-06-24,0.724167,0.656583,0.573333,0.222025,969,4022,4991,1
2011-06-25,0.695,0.643313,0.483333,0.209571,1782,3420,5202,1
2011-06-26,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,1
2011-06-27,0.6825,0.637004,0.658333,0.107588,854,3854,4708,2
2011-06-28,0.744167,0.692558,0.634167,0.144283,732,3916,4648,1
2011-06-29,0.728333,0.654688,0.497917,0.261821,848,4377,5225,1
2011-06-30,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,1
